fileid	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok
2017-02-21	35	LatorcaiJanos	56	LezsakSandor	96	JakabIstvan	146	HillerIstvan	191	JakabIstvan										
2017-02-22	18	LezsakSandor	82	LatorcaiJanos	157	SneiderTamas														
2017-02-27	82	LezsakSandor	203	SneiderTamas																
2017-03-06	34	KoverLaszlo	188	JakabIstvan	264	LatorcaiJanos	311	LezsakSandor												
2017-03-07	48	JakabIstvan	67	LezsakSandor	98	LatorcaiJanos	114	SneiderTamas												
2017-03-08	21	HillerIstvan																		
2017-03-13	23	LezsakSandor	32	KoverLaszlo	108	JakabIstvan	215	LatorcaiJanos												
2017-03-20	70	KoverLaszlo	155	LatorcaiJanos	241	LezsakSandor	264	HillerIstvan												
2017-03-21	44	LezsakSandor	93	JakabIstvan																
2017-03-27	86	JakabIstvan	202	SneiderTamas	262	LezsakSandor	302	SneiderTamas	343	LezsakSandor										
2017-04-03	68	KoverLaszlo	204	LezsakSandor	250	JakabIstvan	287	HillerIstvan												
2017-04-04	40	JakabIstvan	110	LezsakSandor	144	JakabIstvan	171	SneiderTamas												
2017-04-10	78	SneiderTamas	225	LezsakSandor	289	LatorcaiJanos	339	SneiderTamas	378	HillerIstvan										
2017-04-18	68	LatorcaiJanos	226	JakabIstvan	266	LezsakSandor	275	HillerIstvan												
2017-04-19	36	LatorcaiJanos	84	LezsakSandor	106	LatorcaiJanos	128	JakabIstvan	198	HillerIstvan	253	JakabIstvan								
2017-04-20	30	SneiderTamas	111	LatorcaiJanos																
2017-04-24	76	LezsakSandor	213	JakabIstvan																
2017-05-02	71	KoverLaszlo	229	LatorcaiJanos	270	SneiderTamas														
2017-05-03	32	LatorcaiJanos	72	LezsakSandor	118	JakabIstvan	144	LezsakSandor	174	LatorcaiJanos	185	JakabIstvan								
2017-05-04	26	LatorcaiJanos	54	SneiderTamas	74	JakabIstvan	100	LezsakSandor	142	SneiderTamas	163	LezsakSandor								
2017-05-05	42	LatorcaiJanos	87	LezsakSandor																
2017-05-08	78	LatorcaiJanos	189	JakabIstvan	194	KoverLaszlo	215	LezsakSandor												
2017-05-15	68	KoverLaszlo	197	LezsakSandor	265	JakabIstvan	306	LatorcaiJanos												
2017-05-16	34	JakabIstvan	56	LatorcaiJanos	88	LezsakSandor	116	JakabIstvan	157	LezsakSandor										
2017-05-17	30	LatorcaiJanos	44	SneiderTamas	68	HillerIstvan	106	JakabIstvan	150	HillerIstvan	171	JakabIstvan								
2017-05-18	18	SneiderTamas	46	LatorcaiJanos	90	HillerIstvan	116	LatorcaiJanos	140	SneiderTamas	161	LezsakSandor								
2017-05-19	52	LatorcaiJanos	106	HillerIstvan	127	LezsakSandor														
2017-05-22	78	JakabIstvan	210	LatorcaiJanos	232	LezsakSandor	260	HillerIstvan	282	SneiderTamas	319	HillerIstvan								
2017-05-29	40	KoverLaszlo	184	JakabIstvan	302	LatorcaiJanos	367	SneiderTamas												
2017-05-30	32	LezsakSandor	90	JakabIstvan	159	LezsakSandor														
2017-05-31	28	HillerIstvan	62	LatorcaiJanos	120	SneiderTamas	139	LatorcaiJanos												
2017-06-06	72	LezsakSandor	192	LatorcaiJanos	216	JakabIstvan	246	HillerIstvan	299	JakabIstvan										
2017-06-12	45	KoverLaszlo	75	JakabIstvan	113	LezsakSandor	235	LatorcaiJanos	327	LezsakSandor	364	SneiderTamas								
2017-06-13	49	HillerIstvan	85	LatorcaiJanos	172	JakabIstvan														
2017-06-14	34	LatorcaiJanos	62	JakabIstvan	85	SneiderTamas														
2017-06-15	10	LatorcaiJanos																		
2017-06-23	56	LatorcaiJanos	110	JakabIstvan	217	LezsakSandor														
2017-08-21	15	LatorcaiJanos																		
2017-09-18	50	KoverLaszlo	180	LatorcaiJanos	286	JakabIstvan	307	LatorcaiJanos												
2017-09-19	45	LezsakSandor	65	JakabIstvan	99	SneiderTamas	128	JakabIstvan												
2017-09-20	48	LatorcaiJanos	85	LezsakSandor																
2017-09-25	61	HillerIstvan	222	JakabIstvan																
