parlaid	idő eleje	idő vége	ciklus száma (7, 8, 9)
SebianPetrovszkiLaszlo	2022-05-02		9
SebokEva	2022-05-02		9
SelmecziGabriella	2014-06-06	2018-05-07	7
SelmecziGabriella	2018-05-08	2022-05-01	8
SelmecziGabriella	2022-05-02		9
SemjenZsolt	2014-06-06	2018-05-07	7
SemjenZsolt	2018-05-08	2022-05-01	8
SemjenZsolt	2022-05-02		9
SesztakMiklos	2014-06-06	2018-05-07	7
SesztakMiklos	2018-05-08	2022-05-01	8
SesztakMiklos	2022-05-02		9
SianosTamas	2018-05-08	2022-05-01	8
SimicskoIstvan	2014-06-06	2018-05-07	7
SimicskoIstvan	2018-05-08	2022-05-01	8
SimicskoIstvan	2022-05-02		9
SimonMiklos	2014-06-06	2018-05-07	7
SimonMiklos	2018-05-08	2022-05-01	8
SimonMiklos	2022-05-02		9
SimonRobertBalazs	2014-06-06	2018-05-07	7
SimonRobertBalazs	2018-05-08	2022-05-01	8
SimonRobertBalazs	2022-05-02		9
SneiderTamas	2014-06-06	2018-05-07	7
SneiderTamas	2018-05-08	2022-05-01	8
StaudtGabor	2014-06-06	2018-05-07	7
StaudtGabor	2018-05-08	2019-01-31	8
SteinmetzAdam	2018-05-08	2022-05-01	8
StummerJanos	2018-05-08	2022-05-01	8
SzabadiIstvan	2022-05-02		9
SzabolcsAttila	2014-06-06	2018-05-07	7
SzaboRebeka	2022-05-02		9
SzaboSandor	2014-06-06	2018-05-07	7
SzaboSandor	2018-05-08	2022-05-01	8
SzaboSandor	2022-05-02		9
SzaboSzabolcs	2014-06-06	2018-05-07	7
SzaboSzabolcs	2018-05-08	2022-05-01	8
SzaboSzabolcs	2022-05-02		9
SzaboTimea	2014-06-06	2018-05-07	7
SzaboTimea	2018-05-08	2022-05-01	8
SzaboTimea	2022-05-02		9
SzaboTunde	2018-05-08	2022-05-01	8
SzaboTunde	2022-05-02		9
SzaboZsolt	2014-06-06	2018-05-07	7
SzaboZsolt	2018-05-08	2022-05-01	8
SzaboZsolt	2022-05-02		9
SzakacsLaszlo	2014-06-06	2018-05-07	7
SzakacsLaszlo	2018-05-08	2022-05-01	8
SzaszfalviLaszlo	2014-06-06	2018-05-07	7
SzaszfalviLaszlo	2018-05-08	2022-05-01	8
SzaszfalviLaszlo	2022-05-02		9
SzatmaryKristof	2014-06-06	2018-05-07	7
SzatmaryKristof	2018-05-08	2022-05-01	8
SzatmaryKristof	2022-05-02		9
SzavayIstvan	2014-06-06	2018-05-07	7
SzavayIstvan	2018-05-08	2019-01-31	8
SzekelySandor	2018-05-08	2022-05-01	8
SzelBernadett	2014-06-06	2018-05-07	7
SzelBernadett	2018-05-08	2022-05-01	8
SzelenyiZsuzsanna	2014-06-06	2018-05-07	7
SzijjartoPeter	2014-06-06	2018-05-07	7
SzijjartoPeter	2018-05-08	2022-05-01	8
SzijjartoPeter	2022-05-02		9
SzilagyiGyorgy	2014-06-06	2018-05-07	7
SzilagyiGyorgy	2018-05-08	2022-05-01	8
SztojkaAttila	2022-05-02		9
SzucsLajos	2014-06-06	2018-05-07	7
SzucsLajos	2018-05-08	2022-05-01	8
SzucsLajos	2022-05-02		9
TapolczaiGergely	2014-06-06	2018-05-07	7
TapolczaiGergely	2018-05-08	2022-05-01	8
TapolczaiGergely	2022-05-02		9
TelekiLaszlo	2014-06-06	2018-05-07	7
TesselyZoltan	2014-06-06	2018-05-07	7
TesselyZoltan	2018-05-08	2022-05-01	8
TesselyZoltan	2022-05-02		9
TibaIstvan	2014-06-06	2018-05-07	7
TibaIstvan	2018-05-08	2022-05-01	8
TibaIstvan	2022-05-02		9
TiffanZsolt	2014-06-06	2018-05-07	7
TilkiAttila	2014-06-06	2018-05-07	7
TilkiAttila	2018-05-08	2022-05-01	8
TilkiAttila	2022-05-02		9
TobiasJozsef	2014-06-06	2018-05-07	7
TobiasJozsef	2018-05-08	2022-05-01	8
TomposMartonKristof	2022-05-02		9
TordaiBence	2018-05-08	2022-05-01	8
TordaiBence	2022-05-02		9
ToroGabor	2014-06-06	2018-05-07	7
ToroGabor	2018-05-08	2022-05-01	8
ToroGabor	2022-05-02		9
TothBertalan	2014-06-06	2018-05-07	7
TothBertalan	2018-05-08	2022-05-01	8
TothBertalan	2022-05-02		9
TothCsaba	2014-06-06	2018-05-07	7
TothCsaba	2018-05-08	2022-05-01	8
TothEndre	2022-05-02		9
TukacsIstvan	2014-06-06	2018-05-07	7
TuriKovacsBela	2014-06-06	2018-05-07	7
TuriKovacsBela	2018-05-08	2022-05-01	8
TuriKovacsBela	2022-05-02		9
TuzsonBence	2014-06-06	2018-05-07	7
TuzsonBence	2018-05-08	2022-05-01	8
TuzsonBence	2022-05-02		9
UngarPeter	2018-05-08	2022-05-01	8
UngarPeter	2022-05-02		9
VadaiAgnes	2014-06-06	2018-05-07	7
VadaiAgnes	2018-05-08	2022-05-01	8
VadaiAgnes	2022-05-02		9
VagoSebestyen	2014-06-06	2018-05-07	7
VajdaZoltan	2022-05-02		9
VantaraGyula	2014-06-06	2018-05-07	7
VargaDammAndrea	2018-05-08	2022-05-01	8
VargaFerenc	2022-05-02		9
VargaGabor	2014-06-06	2018-05-07	7
VargaGabor	2018-05-08	2022-05-01	8
VargaGabor	2022-05-02		9
VargaJozsef	2014-06-06	2018-05-07	7
VargaLaszlo	2014-06-06	2018-05-07	7
VargaLaszlo	2018-05-08	2022-05-01	8
VargaMihaly	2014-06-06	2018-05-07	7
VargaMihaly	2018-05-08	2022-05-01	8
VargaMihaly	2022-05-02		9
VargaSzimeon	2014-06-06	2018-05-07	7
VargaSzimeon	2018-05-08	2022-05-01	8
VargaSzimeon	2022-05-02		9
VarjuLaszlo	2014-06-30	2018-05-07	7
VarjuLaszlo	2018-05-08	2022-05-01	8
VarjuLaszlo	2022-05-02		9
VasImre	2014-06-06	2018-05-07	7
VecseyLaszlo	2014-06-06	2018-05-07	7
VecseyLaszlo	2018-05-08	2022-05-01	8
VecseyLaszlo	2022-05-02		9
VejkeyImre	2014-06-06	2018-05-07	7
